0.0, 0.0, 0.0
1.0, 1.0, 0.0
2.0, 2.0, 0.0
3.1, 3.1, 0.0
2.5, 3.1, 0.0
2.0, 3.1, 0.0
1.5, 3.1, 0.0
1.0, 3.1, 0.0
0.5, 3.1, 0.0
0.0, 3.1, 0.0
-0.5, 3.1, 0.0
-1.0, 3.1, 0.0
-1.5, 3.1, 0.0
-2.0, 3.1, 0.0
-2.5, 3.1, 0.0
-3.1, 3.1, 0.0
-3.1, 2.5, 0.0
-3.1, 2.0, 0.0
-3.1, 1.5, 0.0
-3.1, 1.0, 0.0
-3.1, 0.5, 0.0
-3.1, 0.0, 0.0
-3.1, -0.5, 0.0
-3.1, -1.0, 0.0
-3.1, -1.5, 0.0
-3.1, -2.0, 0.0
-3.1, -2.5, 0.0
-3.1, -3.1, 0.0
-2.5, -3.1, 0.0
-2.0, -3.1, 0.0
-1.5, -3.1, 0.0
-1.0, -3.1, 0.0
-0.5, -3.1, 0.0
0.0, -3.1, 0.0
0.5, -3.1, 0.0
1.0, -3.1, 0.0
1.5, -3.1, 0.0
2.0, -3.1, 0.0
2.5, -3.1, 0.0
3.1, -3.1, 0.0
3.1, -2.5, 0.0
3.1, -2.0, 0.0
3.1, -1.5, 0.0
3.1, -1.0, 0.0
3.1, -0.5, 0.0
3.1, 0.0, 0.0
3.5, 0.5, 0.0
4.0, 1.0, 0.0
4.5, 1.5, 0.0
5.0, 2.0, 0.0
5.5, 2.5, 0.0
6.0, 3.0, 0.0
6.5, 3.5, 0.0
7.0, 4.0, 0.0
6.5, 4.5, 0.0
6.0, 5.0, 0.0
5.5, 5.5, 0.0
5.0, 6.0, 0.0
4.5, 6.5, 0.0
4.0, 7.0, 0.0
3.5, 6.5, 0.0
3.0, 6.0, 0.0
2.5, 5.5, 0.0
2.0, 5.0, 0.0
1.5, 4.5, 0.0
1.0, 4.0, 0.0
0.5, 4.5, 0.0
0.0, 5.0, 0.0
-0.5, 5.5, 0.0
-1.0, 6.0, 0.0
-1.5, 6.5, 0.0
-2.0, 7.0, 0.0
-2.5, 6.5, 0.0
-3.0, 6.0, 0.0
-3.5, 5.5, 0.0
-4.0, 5.0, 0.0
-4.5, 4.5, 0.0
-5.0, 4.0, 0.0
-5.5, 3.5, 0.0
-6.0, 3.0, 0.0
-6.5, 2.5, 0.0
-7.0, 2.0, 0.0
-6.5, 1.5, 0.0
-6.0, 1.0, 0.0
-5.5, 0.5, 0.0
-5.0, 0.0, 0.0
-4.5, -0.5, 0.0
-4.0, -1.0, 0.0
-3.5, -1.5, 0.0
-3.0, -2.0, 0.0
